"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Tree","Bald Cypress","Baldcypress, Common Bald Cypress, Southern Bald Cypress, Deciduous Cypress, Southern Cypress, Swamp Cypress, Red Cypress, White Cypress, Yellow Cypress, Gulf Cypress, Tidewater Red Cypress","Taxodium distichum","Texas Blackland Prairies, Western Gulf Coastal Plain","50","75","20","45","Sun, Part Shade","Medium, High","Deciduous","Perennial","Spring","Purple","Fall Color, Seeds, Larval Host","Sand, Loam, Clay, Limestone, Poor Drainage","Birds, Small Mammals, Moths","Woodland,Wetland or Riparian","Adapted to riverine habitats. Needs deep soil or poor drainage conditions. Does not need pruning.","Majestic tree with ferny foliage that enhances many landscapes. Foliage dries up in dry, hot locations. Leaves turn terracotta hues in fall. Larval Host: Bald Cypress Sphinx.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 320. 4) https://www.wildflower.org/plants/result.php?id_plant=TADI2. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Taxodium+distichum&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8242&locationType=County&mapType=Normal, 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18041#null"
"","Vine","Balsam Gourd","Lindheimer's Globeberry, Globe Berry, Snake-apple, Balsam-apple","Ibervillea lindheimeri","Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","6","20","1","2","Sun, Part Shade, Shade","Low","Deciduous","Perennial","Spring, Summer","Yellow","Fruit, Nectar, Flowers","Sand, Loam, Clay, Saline","Birds, Nectar Insects","Woodland","The plant will set more fruit in a sunnier setting. Climbs by tendrils so will need a shrub or trellis to clamber up.","The leaves and small yellow flowers of the balsam-gourd vine are attractive, but the ornamental value of this plant lies in its 1-2 inch, bright red, globular fruit. Light tolerance makes balsam-gourd a versatile plant for shade gardens.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=IBLI. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8152&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22382#null"
"","Shrub","Barbados Cherry","Wild Crapemyrtle, Acerola, Manzanita","Malpighia glabra","Southern Texas Plains","3","6","3","6","Part Shade","Medium","Semi Evergreen","Perennial","Spring, Summer, Fall","Pink","Fruit, Nectar, Larval Host, Flowers","Sand, Loam, Clay, Limestone, Well Drained","Butterflies, Birds","Woodland"," It is useful as a dense screening hedge that may be left soft, sheared, or as a specimen. ","Barbados Cherry develops into a thick, rounded canopy of fairly delicate foliage. Small pink flowers appear periodically from April to October and are followed about one month later by bright red, 1-inch fruits. Larval Host: Brown-banded Skipper, White-patched Skipper, Florida Duskywing, Cassius Blue. Replaces invasives: Nandina","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 250. 3) https://www.wildflower.org/plants/result.php?id_plant=MAGL6. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=14453&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=565291#null"
"","Herbaceous","Barbara's Buttons","Barbara's-buttons, Puffballs, White Barbara's-buttons","Marshallia caespitosa","Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","0.75","1.5","5","1","Sun, Part Shade","Low","Deciduous","Perennial","Spring","White, Pink","Forage, Nectar","Sand, Loam, Clay, Limestone, Well Drained","Butterflies, Birds, Small Mammals, Bees","Grassland,Woodland","Thin, divide, transplant in spring. Prune off flower stalks after seeds dispersed.","Dainty balls of white, fragrant flowers are borne on slender, leafless stalks arising from a rosette of narrow leaves.  Good border edge or filler. Nectar for butterflies & other pollinators; seed for Bluebirds. Rabbits will eat the plants.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 197. 3) https://www.wildflower.org/plants/result.php?id_plant=MACA7. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Marshallia+caespitosa&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=3782&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=38064#null"
"","Herbaceous","Beebalm","Wild Bergamot","Monarda fistulosa","Cross Timbers, Western Gulf Coastal Plain","2","4","0.5","1","Sun, Part Shade","Low","Deciduous","Perennial","Spring, Summer","White, Pink, Purple","Nectar","Sand, Loam, Rocky","Butterflies, Birds, Hummingbirds, Bees","Grassland,Woodland","Very easy to grow and often forms large colonies. Can become aggressive under optimum growing conditions. It is susceptible to powdery mildew.","Nectar source. Bees and butterflies are especially attracted to this pretty plant. It often occurs in large masses. Nectar: Spicebush Swallowtail.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 198. 4) https://www.wildflower.org/plants/result.php?id_plant=MOFI. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Monarda+fistulosa&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13480&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=565311#null"
"","Shrub","Beebrush","Synonym/s: Whitebrush, Bee-brush, White-brush, Common Bee-brush, Privet Lippia","Aloysia gratissima","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains","6","12","6","8","Sun, Part Shade","Medium","Deciduous","Perennial","Spring, Summer, Fall","White","Fruit, Forage, Nectar, Flowers","Sand, Loam, Clay","Browsers, Butterflies, Birds, Bees","Grassland","This plant can be pruned into a hedge or a small tree.","A fragrant, slender, erect shrub with squarish stems, light gray bark, and branches sometimes bearing sharp tips. Small leaves are usually in clusters along the stems. Flowers are small, white, and vanilla scented growing on spikes extending above the leaves. Blooms during warm months after rains. As the name beebush suggests, this is a honey plant. It also provides browse for wildlife.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ALGR2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Aloysia+gratissima&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23799&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 229. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32132#null"
"","Herbaceous","Big Bend Bluebonnet","Big Bend Lupine, Havard Bluebonnet, Chisos Bluebonnet","Lupinus havardii","Chihuahuan Deserts","3","6","2","3","Sun","Low","Semi Evergreen","Annual","Spring","Blue, Purple","Forage, Nectar, Larval Host, Flowers","Sand, Loam, Gravelly, Limestone","Butterflies, Nectar Insects, Deer, Hummingbirds, Bees","","Low maintenance.","Much taller than most bluebonnets, this bluebonnet grows 1-3 ft. high with the flowers on the upper 4-8 inches of the stem. The flowers of this winter annual are very deep blue with a lemon blotch. Palmate leaves are divided into seven leaflets.  Warning: Plants in the genus Lupinus, especially the seeds, can be toxic to humans and animals if ingested. Larval Host: Sulphurs.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 158. 3) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53.  4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11280&locationType=County&mapType=Normal. 5) https://www.wildflower.org/plants/result.php?id_plant=LUHA, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26025#null"
"","Shrub","Big Bend Silverleaf","Big Bend Barometerbush","Leucophyllum minus","Chihuahuan Deserts","1","3","1","3","Sun","Low","Evergreen","Perennial","Summer, Fall","Purple, Violet","Nectar","Sand, Loam, Limestone, Calcareous, Well Drained, Dry","Butterflies, Bees","Grassland","All cenizos are susceptible to cotton root rot.","A more cold hardy dwarf cenizo found in the Chihuahuan Deserts Ecoregion. Big Bend Barometerbush is the west Texas version of the south Texas Cenizo. It has small gray leaves and pale milky pink flowers. This bush blooms after rain or in high humidity.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 249. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23071&locationType=County&mapType=Normal. 4) https://www.wildflower.org/plants/result.php?id_plant=LEMI4. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=33630#null"
"","Grass & Sedge","Big Bluestem","Tall Bluestem, Turkeyfoot","Andropogon gerardii","Chihuahuan Deserts, East Central Texas Plains, Gulf Coast Prairies and Marshes, High Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","3","6","1","2","Sun, Part Shade","Low","Deciduous","Perennial","Fall","Brown","Seeds","Sand, Loam, Clay, Acid, Calcareous","Birds","Grassland","Leave dead stems standing through Fall and Winter for insect habitat. Cut back dead stems in February before Spring growth.","Needs more moisture to look its best, but is quite drought tolerant once established. One of four major grasses that characterize a tallgrass prairie","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ANGE. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Andropogon+gerardii&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=17687&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 126.. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=40462#null"
"","Herbaceous","Big Buttercup","Large Buttercup","Ranunculus macranthus","Texas Blackland Prairies","0.5","3","0.5","0.5","Sun","Medium","Deciduous","Perennial","Spring","Yellow","Nectar, Flowers","Sand, Loam, Acid, Moist","Nectar Insects","Grassland","Easily raised from seed. Collect seed in May or June. Seeds fall quickly after maturing so watch closely.","POISONOUS PARTS: All parts. Minor skin irritation lasting minutes if touched. Symptoms include burning of the mouth, abdominal pain, vomiting, and bloody diarrhea. Skin redness, burning sensation, and blisters following contact with cell sap.","1) https://www.wildflower.org/plants/result.php?id_plant=RAMA3, 2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18626#null, 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=20857&locationType=County&mapType=Normal, 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Ranunculus+macranthus&formsubmit=Search+Terms, 5) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas."
"","Grass & Sedge","Big Muhly","Lindheimer's Muhly","Muhlenbergia lindheimeri","Edwards Plateau","3","6","1","2","Sun, Part Shade","Low, Medium","Deciduous","Perennial","Spring, Summer, Fall","White","Forage, Nesting Material","Sand, Loam, Clay, Limestone, Calcareous, Well Drained, Moist","Birds, Deer","Grassland","Leave dead stems standing through Fall and Winter for insect habitat. Cut back dead stems in February before Spring growth. “Comb"" with leaf rake to remove dead leaves.","Clumping blue-green, elegant, large-scale specimen grass, large enough for screening, feather-like blooms in fall; leave foliage through winter for interest  &  slow to recover if cut back, Native Habitat: Limestone uplands near streams. On limestone outcrops, often close by small streams.  Replaces Invasives: Pampas grass.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 130. 3) https://www.wildflower.org/plants/result.php?id_plant=MULI. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Muhlenbergia+lindheimeri&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=18552&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=41922#null"
"","Herbaceous","Big Red Sage","Penstemon Sage","Salvia penstemonoides","Edwards Plateau","3","6","1","2","Sun, Part Shade","Medium","Deciduous","Perennial","Summer, Fall","Red, Purple","Nectar","Loam, Clay, Limestone, Well Drained","Butterflies, Hummingbirds, Bees","Woodland,Wetland or Riparian","It occurs in the wild in only a few locations in central Texas, but luckily it is easy to grow from seed and can attain an impressive stature in garden soil.","Once thought to be extinct, Big Red Sage was rediscovered in the 1980s and has become an established garden plant in Texas. The flowers are a sort of purplish red and appear in the summer, drawing many hummingbirds. Its glossy foliage has a pleasant smell - rubbing against the leaves releases a scent similar to lemon-lime.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=SAPE15. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13681&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=504997#null"
"","Tree","Bigtooth Maple","Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple","Acer grandidentatum","Chihuahuan Deserts, Edwards Plateau","40","50","10","15","Sun","Medium","Deciduous","Perennial","Spring","Yellow, Green","Fall Color, Seeds, Forage","Loam, Clay, Alkaline, Calcareous, Moist","Browsers, Birds, Small Mammals","Woodland,Wetland or Riparian","Prune for shape or to raise canopy. Best in alkaline soils.","Yellow to Red fall color. Foliage tips may burn in hot summers; may require extensive watering. Dense shade & surface roots underneath; use low-maintenance native groundcovers. A shrubby or somewhat tree-like maple, this species usually matures at 10-15 ft. but is sometimes taller. Habitat notes: Moist soils of canyons in mountains and plateaus; in woodlands and riparian zones. Habitat Notes: exists in a very restricted area of Edwards Plateau, and the Guadalupe Mountains.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACGR3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+grandidentatum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22739&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 331. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48., 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28760#null"
